INFO 2024-10-11 23:16:38,069 basehttp 458 140299302405696 "GET /admin/images/creationtype/ HTTP/1.1" 200 14082
INFO 2024-10-11 23:16:38,118 basehttp 458 140299302405696 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2024-10-11 23:16:38,135 basehttp 458 140299302405696 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2024-10-11 23:16:38,151 basehttp 458 140299302405696 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:38,152 basehttp 458 140299302405696 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2024-10-11 23:16:38,167 basehttp 458 140299302405696 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2024-10-11 23:16:38,186 basehttp 458 140299302405696 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-10-11 23:16:38,198 basehttp 458 140299302405696 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:38,214 basehttp 458 140299302405696 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:38,230 basehttp 458 140299302405696 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:38,246 basehttp 458 140299302405696 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:38,261 basehttp 458 140299302405696 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:38,277 basehttp 458 140299302405696 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:38,293 basehttp 458 140299302405696 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:38,309 basehttp 458 140299302405696 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:38,325 basehttp 458 140299302405696 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2024-10-11 23:16:38,340 basehttp 458 140299302405696 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:38,355 basehttp 458 140299302405696 "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2024-10-11 23:16:38,371 basehttp 458 140299302405696 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2024-10-11 23:16:38,386 basehttp 458 140299302405696 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2024-10-11 23:16:38,402 basehttp 458 140299302405696 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
WARNING 2024-10-11 23:16:38,419 log 458 140299302405696 Not Found: /favicon.ico
INFO 2024-10-11 23:16:39,741 basehttp 458 140299302405696 "GET /admin/images/creationtype/ HTTP/1.1" 200 13854
